Index,Factor,Shape Factor,nInfluencePoints
898,7.2,0.0509117,29
899,7.2,0.0509117,29
900,7.2,0.0509117,29
901,7.2,0.0509117,29
902,7.2,0.0509117,29
903,7.2,0.0509117,29
904,7.2,0.0509117,29
905,7.2,0.0509117,29
906,7.2,0.0509117,29
907,7.2,0.0509117,29
908,7.2,0.0509117,29
909,7.2,0.0509117,29
910,7.2,0.0509117,29
911,7.2,0.0509117,29
912,7.2,0.0509117,29
913,7.2,0.0509117,30
914,8,0.0565685,29
915,9.6,0.0678823,24
916,9.9,0.0700036,24
917,8.3,0.0586899,27
918,7.2,0.0509117,30
919,7.2,0.0509117,29
920,7.2,0.0509117,29
921,7.2,0.0509117,29
922,7.2,0.0509117,29
923,7.2,0.0509117,29
924,7.2,0.0509117,29
925,7.2,0.0509117,29
926,7.2,0.0509117,29
927,7.2,0.0509117,29
928,7.2,0.0509117,29
929,7.2,0.0509117,29
930,7.2,0.0509117,29
931,7.2,0.0509117,29
932,7.2,0.0509117,29
933,7.2,0.0509117,29
934,7.2,0.0509117,29
935,7.2,0.0509117,29
936,7.2,0.0509117,29
937,7.2,0.0509117,29
938,7.2,0.0509117,29
939,7.2,0.0509117,29
940,7.2,0.0509117,29
941,7.2,0.0509117,29
942,7.2,0.0509117,29
943,7.2,0.0509117,29
944,7.2,0.0509117,29
945,7.2,0.0509117,29
946,7.2,0.0509117,29
947,7.2,0.0509117,29
948,7.2,0.0509117,29
949,7.2,0.0509117,29
950,7.2,0.0509117,29
951,7.2,0.0509117,29
952,7.2,0.0509117,29
953,7.2,0.0509117,29
954,7.2,0.0509117,29
955,7.2,0.0509117,29
956,7.2,0.0509117,29
957,7.2,0.0509117,29
958,7.2,0.0509117,29
959,7.2,0.0509117,29
960,7.2,0.0509117,29
961,7.2,0.0509117,29
962,7.2,0.0509117,30
963,8.3,0.0586899,27
964,9.9,0.0700036,24
965,9.6,0.0678823,24
966,8,0.0565685,29
967,7.2,0.0509117,30
968,7.2,0.0509117,29
969,7.2,0.0509117,29
970,7.2,0.0509117,29
971,7.2,0.0509117,29
972,7.2,0.0509117,29
973,7.2,0.0509117,29
974,7.2,0.0509117,29
975,7.2,0.0509117,29
976,7.2,0.0509117,29
977,7.2,0.0509117,29
978,7.2,0.0509117,29
979,7.2,0.0509117,29
980,7.2,0.0509117,29
981,7.2,0.0509117,29
982,7.2,0.0509117,29
983,7.2,0.0509117,29
984,7.2,0.0509117,29
985,7.2,0.0509117,29
986,7.2,0.0509117,29
987,7.2,0.0509117,29
988,7.2,0.0509117,29
989,7.2,0.0509117,29
990,7.2,0.0509117,29
991,7.2,0.0509117,29
992,7.2,0.0509117,29
993,7.2,0.0509117,29
994,7.2,0.0509117,29
995,7.2,0.0509117,29
996,7.2,0.0509117,29
997,7.2,0.0509117,29
998,7.2,0.0509117,29
999,7.2,0.0509117,29
1000,7.2,0.0509117,29
1001,7.2,0.0509117,29
1002,7.2,0.0509117,29
1003,7.2,0.0509117,29
1004,7.2,0.0509117,29
1005,7.2,0.0509117,29
1006,7.2,0.0509117,29
